;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variables;;;;;;;;;Parameters;;;;;;;;;;;;;;;;;;
Variable Name;Variable Symbol;Value;Unit;Comment;;;;;Info;;;;Max;;;;;;;Continuous ;;;;;;;
;;;;;;;;;Name;type;Source;Used in;P(kW);Torque(Nm);RPM;Effieniency;Voltage;Weight(kg)(AC);Size;P(kW);Torque(Nm);RPM;Cost(€);Durabiltiy;;;
Number of Individual Motors;N*;6;;;;;;;EMRAX 268;Axial flux ;https://emrax.com/e-motors/emrax-268/;Glider planes;210;500;4010,58;92-98%;800 (HV) / 650 (MV) / 250 Vdc (LV);21,40;casing diameter: 268 mm, Axial length: 91 mm;117,00;250;4468,932;~4000;;;;
maximum takeoff weight ;MTOW;311;KG;Approx. got this from the code array;;;;;EMRAX 188;;https://emrax.com/e-motors/emrax-188/;;;;;;;7,10;;37,00;;;;;;;
maximum peak total power needed;P;1244;kW;from final design calculations, i should probably calculate this myself too or look how it was calculated;;;;;EMRAX 208;;https://emrax.com/e-motors/emrax-208/;;;;;;;9,40;;56,00;;;;;;;
maximum peak power per motor;;207,3333333;kW;Not really a good approx, but i need a start point, this is just so i can look at simalar motors;;;;;EMRAX 228;;https://emrax.com/e-motors/emrax-228/;;;;;;;12,90;;75,00;;;;;;;
powerloading;;4;kg/kW;James wang presentation;;;;;EMRAX 348;;https://emrax.com/e-motors/emrax-348/;;;;;;;43,10;;210,00;;;;;;;
;;;;;;;;;Siemens SP200D;;https://www.ie-net.be/sites/default/files/Siemens%20 eAircraft%20-%20Disrupting%20Aircraft%20Propulsion%20-%20OO%20JH%20THO%20-%2020180427.cleaned.pdf;;;;;;;49,00;;204,00;;;;;;;
;;;;;;;;;Magnax AXF185;;https://www.researchgate.net/publication/326294480_The_Greenliner_Green_Flying_Final_Report_DSE_Group_8#pf2c (page 40);;;;;;;8,00;;50,00;;;;;;;
;;;;;;;;;Magnax AXF225;;https://www.researchgate.net/publication/326294480_The_Greenliner_Green_Flying_Final_Report_DSE_Group_8#pf2c (page 40);;;;;;;14,00;;85,00;;;;;;;
;;;;;;;;;Magnax AXF275;;https://www.researchgate.net/publication/326294480_The_Greenliner_Green_Flying_Final_Report_DSE_Group_8#pf2c (page 40);;;;;;;26,50;;150,00;;;;;;;
